accessions	gene_id	gene	gene_description	alt_gene_description	all_GO_ids	BP_GO_ids	CC_GO_ids	MF_GO_ids
M9PBE2;Q86NQ9;Q8INV9;Q8INW0;Q95RE3;Q9VIT1	35256	Hakai	E3 ubiquitin-protein ligase Hakai	Zinc finger MYND domain-containing protein 9	GO:0031410;GO:0005634;GO:0048471;GO:0005886;GO:0036396;GO:0045296;GO:0061630;GO:0004842;GO:0008270;GO:0007015;GO:0040003;GO:0007391;GO:0007427;GO:0060429;GO:0030237;GO:0008258;GO:0007494;GO:0080009;GO:0016567;GO:0000381;GO:0030155;GO:0035282	GO:0007015;GO:0040003;GO:0007391;GO:0007427;GO:0060429;GO:0030237;GO:0008258;GO:0007494;GO:0080009;GO:0016567;GO:0000381;GO:0030155;GO:0035282	GO:0031410;GO:0005634;GO:0048471;GO:0005886;GO:0036396	GO:0045296;GO:0061630;GO:0004842;GO:0008270
Q9D8X0;Q3TDU6;Q91YV8		Manbal	Protein MANBAL	Zinc finger MYND domain-containing protein 9	GO:0016021		GO:0016021	
P0DPD6;A5PLK8;O60344;Q6NTG7;Q6UW36;Q8NFD7;Q96NX3;Q96NX4;Q9BRZ8	9718	ECE2	Endothelin-converting enzyme 2	Zinc finger MYND domain-containing protein 9	GO:0030659;GO:0000139;GO:0016021;GO:0005886;GO:0030658;GO:0046872;GO:0004222;GO:0008168;GO:0007267;GO:0007186;GO:0032259;GO:0016486;GO:0016485	GO:0007267;GO:0007186;GO:0032259;GO:0016486;GO:0016485	GO:0030659;GO:0000139;GO:0016021;GO:0005886;GO:0030658	GO:0046872;GO:0004222;GO:0008168
B2RXA1	433022	Plcxd2	PI-PLC X domain-containing protein 2	Zinc finger MYND domain-containing protein 9	GO:0005634;GO:0008081;GO:0016042;GO:0007165	GO:0016042;GO:0007165	GO:0005634	GO:0008081
P50096;Q7TSG7	23917	Impdh1	Inosine-5'-monophosphate dehydrogenase 1	IMPDH-I	GO:0005737;GO:0005829;GO:0005634;GO:0003677;GO:0042802;GO:0003938;GO:0046872;GO:0003676;GO:0000166;GO:0097294;GO:0006177;GO:0032263;GO:0006183;GO:0046651;GO:0006164	GO:0097294;GO:0006177;GO:0032263;GO:0006183;GO:0046651;GO:0006164	GO:0005737;GO:0005829;GO:0005634	GO:0003677;GO:0042802;GO:0003938;GO:0046872;GO:0003676;GO:0000166
Q9QUK3	26889	Cln8	Protein CLN8	IMPDH-I	GO:0005783;GO:0005789;GO:0005793;GO:0033116;GO:0016021;GO:0005739;GO:0098793;GO:0097001;GO:0008344;GO:0007628;GO:0001306;GO:0008306;GO:0044265;GO:0044257;GO:0044267;GO:0006672;GO:0008203;GO:0051935;GO:0055088;GO:0007040;GO:0007006;GO:0050881;GO:0043066;GO:0007399;GO:0060052;GO:0050885;GO:0050884;GO:0006644;GO:0045494;GO:0008361;GO:0060041;GO:0035176;GO:0021523;GO:0021522;GO:0007601	GO:0008344;GO:0007628;GO:0001306;GO:0008306;GO:0044265;GO:0044257;GO:0044267;GO:0006672;GO:0008203;GO:0051935;GO:0055088;GO:0007040;GO:0007006;GO:0050881;GO:0043066;GO:0007399;GO:0060052;GO:0050885;GO:0050884;GO:0006644;GO:0045494;GO:0008361;GO:0060041;GO:0035176;GO:0021523;GO:0021522;GO:0007601	GO:0005783;GO:0005789;GO:0005793;GO:0033116;GO:0016021;GO:0005739;GO:0098793	GO:0097001
O54715	83615	Atp6ap1	V-type proton ATPase subunit S1	Vacuolar proton pump subunit S1	GO:0005789;GO:0033116;GO:0016021;GO:0033181;GO:0033180;GO:0005524;GO:0031267;GO:0007568;GO:0008219;GO:0006879;GO:0036295;GO:0099638;GO:0051656;GO:0036035;GO:0045851;GO:0045780;GO:0070374;GO:0045921;GO:0045669;GO:2001206;GO:1902600;GO:0030641	GO:0007568;GO:0008219;GO:0006879;GO:0036295;GO:0099638;GO:0051656;GO:0036035;GO:0045851;GO:0045780;GO:0070374;GO:0045921;GO:0045669;GO:2001206;GO:1902600;GO:0030641	GO:0005789;GO:0033116;GO:0016021;GO:0033181;GO:0033180	GO:0005524;GO:0031267
O35678;Q3V2R0;Q9D9G8	23945	Mgll	Monoglyceride lipase	Monoacylglycerol lipase	GO:0030424;GO:0005829;GO:0019898;GO:0016020;GO:0005654;GO:0045202;GO:0043196;GO:0047372;GO:0016787;GO:0016298;GO:0042803;GO:0046464;GO:0019369;GO:0006633;GO:0060292;GO:0052651;GO:0045907;GO:0030516;GO:2000124;GO:0050727;GO:0051930;GO:0009966;GO:0019433	GO:0046464;GO:0019369;GO:0006633;GO:0060292;GO:0052651;GO:0045907;GO:0030516;GO:2000124;GO:0050727;GO:0051930;GO:0009966;GO:0019433	GO:0030424;GO:0005829;GO:0019898;GO:0016020;GO:0005654;GO:0045202;GO:0043196	GO:0047372;GO:0016787;GO:0016298;GO:0042803
P54103;Q61866	22791	Dnajc2	DnaJ homolog subfamily C member 2	Zuotin-related factor 1	GO:0005737;GO:0005829;GO:0031965;GO:0005730;GO:0005634;GO:0003682;GO:0042393;GO:0030544;GO:0043022;GO:0061649;GO:0051083;GO:0006325;GO:0006260;GO:0030308;GO:2000279;GO:0045893;GO:0006450	GO:0051083;GO:0006325;GO:0006260;GO:0030308;GO:2000279;GO:0045893;GO:0006450	GO:0005737;GO:0005829;GO:0031965;GO:0005730;GO:0005634	GO:0003682;GO:0042393;GO:0030544;GO:0043022;GO:0061649
Q5XGY1	495115	tsr1	Pre-rRNA-processing protein TSR1 homolog	Zuotin-related factor 1	GO:0005730;GO:0042254	GO:0042254	GO:0005730	
Q2NL82;Q8WUY5;Q9NVT0;Q9P2E6	55720	TSR1	Pre-rRNA-processing protein TSR1 homolog	Zuotin-related factor 1	GO:0005829;GO:0005730;GO:0005654;GO:0030688;GO:0005525;GO:0003924;GO:0003723;GO:0034511;GO:0000479;GO:0000462	GO:0000479;GO:0000462	GO:0005829;GO:0005730;GO:0005654;GO:0030688	GO:0005525;GO:0003924;GO:0003723;GO:0034511
Q6DIK0	448436	ints13	Integrator complex subunit 13	Sarcoma antigen NY-SAR-95	GO:0005737;GO:0032039;GO:0005634;GO:0007049;GO:0051301;GO:0051642;GO:0030317;GO:0080154;GO:0007346	GO:0007049;GO:0051301;GO:0051642;GO:0030317;GO:0080154;GO:0007346	GO:0005737;GO:0032039;GO:0005634	
Q9D581	75040	Efcab10	EF-hand calcium-binding domain-containing protein 10	Sarcoma antigen NY-SAR-95	GO:0005509			GO:0005509
Q9NRM2;Q75MZ2;Q75MZ3;Q8WY14	11179	ZNF277	Zinc finger protein 277	Nuclear receptor-interacting factor 4	GO:0005634;GO:0046872;GO:0000978;GO:0070301;GO:2000772	GO:0070301;GO:2000772	GO:0005634	GO:0046872;GO:0000978
Q641C9	447739	cdc123	Cell division cycle protein 123 homolog	Nuclear receptor-interacting factor 4	GO:0005737;GO:0007049;GO:0051301	GO:0007049;GO:0051301	GO:0005737	
O01583	179013	mrck-1	Serine/threonine-protein kinase mrck-1	Myotonic dystrophy kinase-related CDC42-binding kinase homolog	GO:0005737;GO:0005856;GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712;GO:0031032;GO:0009792;GO:0010172;GO:0048598;GO:0060562;GO:0035556;GO:0002119;GO:0018107;GO:2001137;GO:0043547;GO:1903358	GO:0031032;GO:0009792;GO:0010172;GO:0048598;GO:0060562;GO:0035556;GO:0002119;GO:0018107;GO:2001137;GO:0043547;GO:1903358	GO:0005737;GO:0005856	GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712
Q7ZXH2	379272	nsmce2	E3 SUMO-protein ligase NSE2	Non-structural maintenance of chromosomes element 2 homolog	GO:0000781;GO:0016605;GO:0030915;GO:0019789;GO:0008270;GO:0007049;GO:0051301;GO:0090398;GO:0000724;GO:0034184;GO:0045842;GO:0000722	GO:0007049;GO:0051301;GO:0090398;GO:0000724;GO:0034184;GO:0045842;GO:0000722	GO:0000781;GO:0016605;GO:0030915	GO:0019789;GO:0008270
A4IG59;A8DZA2	555174	washc1	WASH complex subunit 1	WAS protein family homolog 1	GO:0005829;GO:0005769;GO:0031901;GO:0055037;GO:0055038;GO:0071203;GO:0003779;GO:0043014;GO:0034314;GO:0016197;GO:0015031;GO:0042147	GO:0034314;GO:0016197;GO:0015031;GO:0042147	GO:0005829;GO:0005769;GO:0031901;GO:0055037;GO:0055038;GO:0071203	GO:0003779;GO:0043014
O73853	100313515	cyp17a1	Steroid 17-alpha-hydroxylase/1720 lyase	Cytochrome P450-C17	GO:0016020;GO:0047442;GO:0020037;GO:0005506;GO:0004508;GO:0007548;GO:0006694	GO:0007548;GO:0006694	GO:0016020	GO:0047442;GO:0020037;GO:0005506;GO:0004508
Q96GE4;B4DMD2;Q96M81	90799	CEP95	Centrosomal protein of 95 kDa	Coiled-coil domain-containing protein 45	GO:0005813;GO:0005737;GO:0000922		GO:0005813;GO:0005737;GO:0000922	
Q00612	14381	G6pdx	Glucose-6-phosphate 1-dehydrogenase X	Coiled-coil domain-containing protein 45	GO:0034451;GO:0005737;GO:0009898;GO:0005829;GO:0043231;GO:0005634;GO:0030246;GO:0005536;GO:0004345;GO:0042802;GO:0050661;GO:0042803;GO:0001998;GO:0002033;GO:0034599;GO:0006695;GO:0048821;GO:0043249;GO:0051156;GO:0006006;GO:0006749;GO:0006741;GO:0006739;GO:0006740;GO:0061052;GO:0010734;GO:2000378;GO:0019322;GO:0006098;GO:0009051;GO:1904879;GO:0040014;GO:0043523;GO:0045471;GO:0006979;GO:0046390	GO:0001998;GO:0002033;GO:0034599;GO:0006695;GO:0048821;GO:0043249;GO:0051156;GO:0006006;GO:0006749;GO:0006741;GO:0006739;GO:0006740;GO:0061052;GO:0010734;GO:2000378;GO:0019322;GO:0006098;GO:0009051;GO:1904879;GO:0040014;GO:0043523;GO:0045471;GO:0006979;GO:0046390	GO:0034451;GO:0005737;GO:0009898;GO:0005829;GO:0043231;GO:0005634	GO:0030246;GO:0005536;GO:0004345;GO:0042802;GO:0050661;GO:0042803
Q921L7;B0QZU8	69536	Hemk1	MTRF1L release factor glutamine methyltransferase	HemK methyltransferase family member 1	GO:0005739;GO:0003676;GO:0008276;GO:0102559		GO:0005739	GO:0003676;GO:0008276;GO:0102559
Q80SY4;Q5XK51;Q6IS57;Q6YI52;Q6ZPT8;Q8BNR1;Q8C6W2;Q921Q1	225164	Mib1	E3 ubiquitin-protein ligase MIB1	RING-type E3 ubiquitin transferase MIB1	GO:0005813;GO:0005737;GO:0031410;GO:0005886;GO:0014069;GO:0004842;GO:0008270;GO:0001568;GO:0006897;GO:0007507;GO:0001947;GO:0001701;GO:0045665;GO:0001841;GO:0007219;GO:0045807;GO:0016567;GO:0001756;GO:0006511	GO:0001568;GO:0006897;GO:0007507;GO:0001947;GO:0001701;GO:0045665;GO:0001841;GO:0007219;GO:0045807;GO:0016567;GO:0001756;GO:0006511	GO:0005813;GO:0005737;GO:0031410;GO:0005886;GO:0014069	GO:0004842;GO:0008270
Q3KNW5;Q70EX7	345274	SLC10A6	Solute carrier family 10 member 6	Sodium-dependent organic anion transporter	GO:0016021;GO:0005886;GO:0008508;GO:0043250;GO:0015721;GO:0043251;GO:0055085	GO:0015721;GO:0043251;GO:0055085	GO:0016021;GO:0005886	GO:0008508;GO:0043250
Q6DGH9;Q9W7M5	30316	otpb	Homeobox protein orthopedia B	Sodium-dependent organic anion transporter	GO:0005634;GO:0003677;GO:0000981;GO:0021884;GO:0021854;GO:0021767;GO:0030182	GO:0021884;GO:0021854;GO:0021767;GO:0030182	GO:0005634	GO:0003677;GO:0000981
Q6NRH0	431860	klhl12	Kelch-like protein 12	Sodium-dependent organic anion transporter	GO:0030127;GO:0030134;GO:0031463;GO:0048208;GO:0006888;GO:0014032;GO:0014029;GO:0006513;GO:0016055	GO:0048208;GO:0006888;GO:0014032;GO:0014029;GO:0006513;GO:0016055	GO:0030127;GO:0030134;GO:0031463	
A7RKF6	5520396		RNA-splicing ligase RtcB homolog	3'-phosphate/5'-hydroxy nucleic acid ligase	GO:0005634;GO:0072669;GO:0005525;GO:0046872;GO:0003972;GO:0000971	GO:0000971	GO:0005634;GO:0072669	GO:0005525;GO:0046872;GO:0003972
Q5E9N9;Q58D90	511790	APEX2	DNA-(apurinic or apyrimidinic site) endonuclease 2	Apurinic-apyrimidinic endonuclease 2	GO:0005739;GO:0005634;GO:0003677;GO:0004519;GO:0004527;GO:0008270;GO:0007049;GO:0006310;GO:0006281	GO:0007049;GO:0006310;GO:0006281	GO:0005739;GO:0005634	GO:0003677;GO:0004519;GO:0004527;GO:0008270
Q62733	25359	Tmpo	Lamina-associated polypeptide 2 isoform beta	Thymopoietin isoform beta	GO:0000785;GO:0016021;GO:0005635;GO:0005637;GO:0005634;GO:0003677;GO:0042802;GO:0005521;GO:0031468;GO:0006355	GO:0031468;GO:0006355	GO:0000785;GO:0016021;GO:0005635;GO:0005637;GO:0005634	GO:0003677;GO:0042802;GO:0005521
Q9NUX5;O95018;Q5MJ36;Q9H662;Q9NW19;Q9UG95	25913	POT1	Protection of telomeres protein 1	POT1-like telomere end-binding protein	GO:0000781;GO:0000783;GO:0005654;GO:0070187;GO:1905773;GO:0017151;GO:1990955;GO:0098505;GO:0043047;GO:0010521;GO:0061821;GO:0042162;GO:0032508;GO:0070200;GO:0051974;GO:0032211;GO:1905776;GO:0060383;GO:0051096;GO:0051973;GO:0032212;GO:1905774;GO:2001032;GO:0032210;GO:0032202;GO:0016233;GO:0007004;GO:0061820	GO:0032508;GO:0070200;GO:0051974;GO:0032211;GO:1905776;GO:0060383;GO:0051096;GO:0051973;GO:0032212;GO:1905774;GO:2001032;GO:0032210;GO:0032202;GO:0016233;GO:0007004;GO:0061820	GO:0000781;GO:0000783;GO:0005654;GO:0070187	GO:1905773;GO:0017151;GO:1990955;GO:0098505;GO:0043047;GO:0010521;GO:0061821;GO:0042162
Q6P3R8;Q5TAP5	341676	NEK5	Serine/threonine-protein kinase Nek5	Never in mitosis A-related kinase 5	GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712			GO:0005524;GO:0046872;GO:0106310;GO:0004674;GO:0004712
O94888;D3DXB3;Q6ZP77;Q86X20;Q8N327	26043	UBXN7	UBX domain-containing protein 7	Never in mitosis A-related kinase 5	GO:0005829;GO:0016604;GO:0005654;GO:0034098;GO:0061629;GO:0043130;GO:0031625		GO:0005829;GO:0016604;GO:0005654;GO:0034098	GO:0061629;GO:0043130;GO:0031625
A3R064	429960	DOK3	Docking protein 3	Downstream of tyrosine kinase 3	GO:0005737;GO:0005886;GO:0007265;GO:0007169	GO:0007265;GO:0007169	GO:0005737;GO:0005886	
O09171;Q6AZ06	81508	Bhmt	Betaine--homocysteine S-methyltransferase 1	Downstream of tyrosine kinase 3	GO:0005829;GO:0070062;GO:0032991;GO:0047150;GO:0008168;GO:0044877;GO:0008270;GO:0006579;GO:0006577;GO:0071267;GO:0009086;GO:0006479;GO:0010243	GO:0006579;GO:0006577;GO:0071267;GO:0009086;GO:0006479;GO:0010243	GO:0005829;GO:0070062;GO:0032991	GO:0047150;GO:0008168;GO:0044877;GO:0008270
Q9VQ91	33401	papi	Tudor and KH domain-containing protein homolog	Partner of PIWIs protein	GO:0005634;GO:0043186;GO:0000932;GO:0032991;GO:0047485;GO:0003723;GO:0070895;GO:0030719;GO:0034587;GO:1903829	GO:0070895;GO:0030719;GO:0034587;GO:1903829	GO:0005634;GO:0043186;GO:0000932;GO:0032991	GO:0047485;GO:0003723
Q9BXT4;A6NEN3;A6NMN2;B3KVI4;B4E2L5;D3DRC2;Q4G0Y8;Q6P518;Q9H7B3	56165	TDRD1	Tudor domain-containing protein 1	Cancer/testis antigen 41.1	GO:0033391;GO:0005737;GO:0043186;GO:0071546;GO:1990904;GO:0046872;GO:0043046;GO:0031047;GO:0007281;GO:0051321;GO:0030719;GO:0034587;GO:0007283	GO:0043046;GO:0031047;GO:0007281;GO:0051321;GO:0030719;GO:0034587;GO:0007283	GO:0033391;GO:0005737;GO:0043186;GO:0071546;GO:1990904	GO:0046872
Q9V4A7;O96682	43766	PlexB	Plexin-B	Cancer/testis antigen 41.1	GO:0030425;GO:0005887;GO:0005886;GO:0002116;GO:0017154;GO:0007411;GO:0070593;GO:0008045;GO:0007162;GO:0071678;GO:0050772;GO:0030334;GO:0008360;GO:0043087;GO:1902287;GO:0097374	GO:0007411;GO:0070593;GO:0008045;GO:0007162;GO:0071678;GO:0050772;GO:0030334;GO:0008360;GO:0043087;GO:1902287;GO:0097374	GO:0030425;GO:0005887;GO:0005886;GO:0002116	GO:0017154
Q5SUV2;Q80YS8;Q8R2Q9	104601	Mycbpap	MYCBP-associated protein	AMY-1-binding protein 1	GO:0005737;GO:0016020;GO:0045202;GO:0030154;GO:0007268;GO:0007283	GO:0030154;GO:0007268;GO:0007283	GO:0005737;GO:0016020;GO:0045202	
Q9Y896		ACT2	Actin-2	AMY-1-binding protein 1	GO:0005737;GO:0005856;GO:0005524		GO:0005737;GO:0005856	GO:0005524
Q5ZMU6	416098	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	AMY-1-binding protein 1	GO:0005737;GO:0005634;GO:0030289;GO:0019888;GO:0006470	GO:0006470	GO:0005737;GO:0005634;GO:0030289	GO:0019888
O95352;B4E170;E9PB95;Q7L8L0;Q9BWP2;Q9UFH4	10533	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	Ubiquitin-activating enzyme E1-like protein	GO:0005930;GO:0005737;GO:0005829;GO:0005576;GO:1904813;GO:0000407;GO:0034774;GO:0019778;GO:0019779;GO:0042803;GO:0000045;GO:0006914;GO:0000422;GO:0006501;GO:0071455;GO:0006995;GO:0009267;GO:0051607;GO:0044805;GO:0016236;GO:0034727;GO:0043065;GO:0045732;GO:0031401;GO:0006497;GO:0032446;GO:0015031;GO:0042752;GO:0048511;GO:0039521	GO:0000045;GO:0006914;GO:0000422;GO:0006501;GO:0071455;GO:0006995;GO:0009267;GO:0051607;GO:0044805;GO:0016236;GO:0034727;GO:0043065;GO:0045732;GO:0031401;GO:0006497;GO:0032446;GO:0015031;GO:0042752;GO:0048511;GO:0039521	GO:0005930;GO:0005737;GO:0005829;GO:0005576;GO:1904813;GO:0000407;GO:0034774	GO:0019778;GO:0019779;GO:0042803
O88854;Q14A53;Q9Z2B0	14428	Galr2	Galanin receptor type 2	Ubiquitin-activating enzyme E1-like protein	GO:0005929;GO:0005887;GO:0008528;GO:0004966;GO:0042923;GO:0017046;GO:0007189;GO:0007188;GO:0090663;GO:0043647;GO:0007194;GO:0031175;GO:0007218;GO:0046488;GO:0007200;GO:0007204;GO:1902608;GO:0045944	GO:0007189;GO:0007188;GO:0090663;GO:0043647;GO:0007194;GO:0031175;GO:0007218;GO:0046488;GO:0007200;GO:0007204;GO:1902608;GO:0045944	GO:0005929;GO:0005887	GO:0008528;GO:0004966;GO:0042923;GO:0017046
Q6PCB5;C9K0P1;Q6ZS58;Q6ZVI9;Q86X48	222194	RSBN1L	Lysine-specific demethylase RSBN1L	Round spermatid basic protein 1-like protein	GO:0005634;GO:0051213;GO:0046872		GO:0005634	GO:0051213;GO:0046872
Q9GKU5	102133368	HDAC11	Histone deacetylase 11	Round spermatid basic protein 1-like protein	GO:0005737;GO:0000118;GO:0005634;GO:0140297;GO:0004407;GO:0032041;GO:0006325	GO:0006325	GO:0005737;GO:0000118;GO:0005634	GO:0140297;GO:0004407;GO:0032041
Q66H43	497934	Borcs6	BLOC-1-related complex subunit 6	Round spermatid basic protein 1-like protein	GO:0099078;GO:0005765;GO:0042802;GO:0032418	GO:0032418	GO:0099078;GO:0005765	GO:0042802
O89050	27418	Mkln1	Muskelin	Round spermatid basic protein 1-like protein	GO:0005938;GO:0005737;GO:0005829;GO:0005654;GO:0098794;GO:0001726;GO:0000151;GO:0042802;GO:0042803;GO:0031532;GO:0007160;GO:0008360;GO:0002090	GO:0031532;GO:0007160;GO:0008360;GO:0002090	GO:0005938;GO:0005737;GO:0005829;GO:0005654;GO:0098794;GO:0001726;GO:0000151	GO:0042802;GO:0042803
Q5U3U3;B0S7W9	100005717	cpt2	Carnitine O-palmitoyltransferase 2 mitochondrial	Carnitine palmitoyltransferase II	GO:0005743;GO:0005739;GO:0008458;GO:0004095;GO:0006635	GO:0006635	GO:0005743;GO:0005739	GO:0008458;GO:0004095
O01639		E75	Ecdysone-inducible protein E75	Nuclear receptor subfamily 1 group D member 3	GO:0005634;GO:0004879;GO:0043565;GO:0008270		GO:0005634	GO:0004879;GO:0043565;GO:0008270
Q08E02	768225	NR1D1	Nuclear receptor subfamily 1 group D member 1	V-erbA-related protein 1	GO:0005737;GO:0030425;GO:0043197;GO:0005634;GO:0070888;GO:0004879;GO:0000978;GO:0001222;GO:0008270;GO:0030154;GO:0001678;GO:0071347;GO:0071356;GO:0042632;GO:0032922;GO:0060086;GO:0005978;GO:0009755;GO:0061889;GO:0043124;GO:0050728;GO:1903979;GO:0150079;GO:0000122;GO:0045892;GO:0070859;GO:0045944;GO:0045893;GO:0010498;GO:0031648;GO:0042752;GO:0042749;GO:0045598;GO:0061178;GO:0019216;GO:0061469;GO:0044321	GO:0030154;GO:0001678;GO:0071347;GO:0071356;GO:0042632;GO:0032922;GO:0060086;GO:0005978;GO:0009755;GO:0061889;GO:0043124;GO:0050728;GO:1903979;GO:0150079;GO:0000122;GO:0045892;GO:0070859;GO:0045944;GO:0045893;GO:0010498;GO:0031648;GO:0042752;GO:0042749;GO:0045598;GO:0061178;GO:0019216;GO:0061469;GO:0044321	GO:0005737;GO:0030425;GO:0043197;GO:0005634	GO:0070888;GO:0004879;GO:0000978;GO:0001222;GO:0008270
Q14BV6;Q8C5Z5;Q9D8Z7	69101	Ydjc	Carbohydrate deacetylase	V-erbA-related protein 1	GO:0019213;GO:0000287;GO:0005975	GO:0005975		GO:0019213;GO:0000287
P30568			Glutathione S-transferase A	GST class-theta	GO:0005737;GO:0004364;GO:0006749	GO:0006749	GO:0005737	GO:0004364
Q5U5A6	495317	nrarp	Notch-regulated ankyrin repeat-containing protein	GST class-theta	GO:0007219	GO:0007219		
Q5MJS3;Q4FJP0;Q571A3;Q6PKA8;Q8JZP7	80752	Fam20c	Extracellular serine/threonine protein kinase FAM20C	Golgi-enriched fraction casein kinase	GO:0005737;GO:0005615;GO:0005794;GO:0005524;GO:0005509;GO:0030145;GO:0016773;GO:0106310;GO:0004674;GO:0004712;GO:0046034;GO:0031214;GO:0097187;GO:0070166;GO:0071895;GO:0036179;GO:0030501;GO:0045669;GO:0006468;GO:0040036;GO:0051174;GO:0001501	GO:0046034;GO:0031214;GO:0097187;GO:0070166;GO:0071895;GO:0036179;GO:0030501;GO:0045669;GO:0006468;GO:0040036;GO:0051174;GO:0001501	GO:0005737;GO:0005615;GO:0005794	GO:0005524;GO:0005509;GO:0030145;GO:0016773;GO:0106310;GO:0004674;GO:0004712
P47811;B2KF37;B2KF38;O08666;Q3U6R5;Q3UZS3;Q8C289;Q9JLV8;Q9QZ80	26416	Mapk14	Mitogen-activated protein kinase 14	Mitogen-activated protein kinase p38 alpha	GO:0005737;GO:0005829;GO:0098978;GO:0005739;GO:0016607;GO:0005654;GO:0005634;GO:0000922;GO:0005524;GO:0019899;GO:0016301;GO:0004707;GO:0048273;GO:0051525;GO:0008022;GO:0004672;GO:0019903;GO:0106310;GO:0004674;GO:0004712;GO:0001525;GO:0006915;GO:0060348;GO:0001502;GO:0000902;GO:0006974;GO:0071479;GO:0071222;GO:0071223;GO:0071356;GO:0035924;GO:0098586;GO:0002062;GO:0000077;GO:0019395;GO:0006006;GO:0035556;GO:0031663;GO:0000165;GO:0090090;GO:0035331;GO:0001649;GO:0030316;GO:0038066;GO:0018105;GO:0001890;GO:0090336;GO:0060045;GO:0031281;GO:0045648;GO:0010628;GO:0046326;GO:0032735;GO:0045663;GO:1901741;GO:0010831;GO:0042307;GO:2000379;GO:0045944;GO:0046777;GO:0006468;GO:1900015;GO:0030278;GO:0099179;GO:0006357;GO:0006355;GO:0002021;GO:0032868;GO:0032496;GO:0032495;GO:0035994;GO:0042770;GO:0007519;GO:0051403;GO:0090400;GO:0051146;GO:0007178;GO:0048010	GO:0001525;GO:0006915;GO:0060348;GO:0001502;GO:0000902;GO:0006974;GO:0071479;GO:0071222;GO:0071223;GO:0071356;GO:0035924;GO:0098586;GO:0002062;GO:0000077;GO:0019395;GO:0006006;GO:0035556;GO:0031663;GO:0000165;GO:0090090;GO:0035331;GO:0001649;GO:0030316;GO:0038066;GO:0018105;GO:0001890;GO:0090336;GO:0060045;GO:0031281;GO:0045648;GO:0010628;GO:0046326;GO:0032735;GO:0045663;GO:1901741;GO:0010831;GO:0042307;GO:2000379;GO:0045944;GO:0046777;GO:0006468;GO:1900015;GO:0030278;GO:0099179;GO:0006357;GO:0006355;GO:0002021;GO:0032868;GO:0032496;GO:0032495;GO:0035994;GO:0042770;GO:0007519;GO:0051403;GO:0090400;GO:0051146;GO:0007178;GO:0048010	GO:0005737;GO:0005829;GO:0098978;GO:0005739;GO:0016607;GO:0005654;GO:0005634;GO:0000922	GO:0005524;GO:0019899;GO:0016301;GO:0004707;GO:0048273;GO:0051525;GO:0008022;GO:0004672;GO:0019903;GO:0106310;GO:0004674;GO:0004712
O61443	34780	p38b	Mitogen-activated protein kinase p38b	Mitogen-activated protein kinase p38 alpha	GO:0005737;GO:0005634;GO:0005524;GO:0004707;GO:0106310;GO:0004674;GO:0004712;GO:0071243;GO:0071276;GO:0034614;GO:0007623;GO:0042742;GO:0050832;GO:0008340;GO:0003007;GO:0007476;GO:0006955;GO:0035556;GO:0000165;GO:0035331;GO:0038066;GO:0038001;GO:0030838;GO:0045793;GO:0040018;GO:0001934;GO:0006468;GO:0048082;GO:0030510;GO:1900407;GO:0045088;GO:2000331;GO:0009617;GO:0009408;GO:0042542;GO:0009651;GO:0042594	GO:0071243;GO:0071276;GO:0034614;GO:0007623;GO:0042742;GO:0050832;GO:0008340;GO:0003007;GO:0007476;GO:0006955;GO:0035556;GO:0000165;GO:0035331;GO:0038066;GO:0038001;GO:0030838;GO:0045793;GO:0040018;GO:0001934;GO:0006468;GO:0048082;GO:0030510;GO:1900407;GO:0045088;GO:2000331;GO:0009617;GO:0009408;GO:0042542;GO:0009651;GO:0042594	GO:0005737;GO:0005634	GO:0005524;GO:0004707;GO:0106310;GO:0004674;GO:0004712
Q5M9P8	494134	arl6	ADP-ribosylation factor-like protein 6	Mitogen-activated protein kinase p38 alpha	GO:0005930;GO:0060170;GO:0005525;GO:0003924;GO:0046872;GO:0060271;GO:0007368;GO:0007369;GO:0006886;GO:0070121;GO:0032402;GO:0033339;GO:0061512;GO:0008593;GO:0050896;GO:0016192;GO:0007601	GO:0060271;GO:0007368;GO:0007369;GO:0006886;GO:0070121;GO:0032402;GO:0033339;GO:0061512;GO:0008593;GO:0050896;GO:0016192;GO:0007601	GO:0005930;GO:0060170	GO:0005525;GO:0003924;GO:0046872
Q6DRC0	445405	sars1	Serine--tRNA ligase cytoplasmic	Seryl-tRNA synthetase	GO:0005829;GO:0005634;GO:0005524;GO:0000978;GO:0004828;GO:0000049;GO:0001525;GO:0001569;GO:0061300;GO:0016525;GO:1903671;GO:0000122;GO:1904046;GO:1901342;GO:0006434;GO:0001944	GO:0001525;GO:0001569;GO:0061300;GO:0016525;GO:1903671;GO:0000122;GO:1904046;GO:1901342;GO:0006434;GO:0001944	GO:0005829;GO:0005634	GO:0005524;GO:0000978;GO:0004828;GO:0000049
